SIRET;SIREN;NOMEN;NOMET;ETAT;CJ;SIEGE;PUB_PRIV;NATURE;DC;Libelle commune;DEP;REG;APET;A88;A17;EMPLOYEUR;Tranche d'effectif;latitude;longitude;result_label;result_score;result_score_next;result_type;result_id;result_housenumber;result_name;result_street;result_postcode;result_city;result_context;result_citycode;result_oldcitycode;result_oldcity;result_district;result_status
19610019200018;196100192;LYCEE PROFESSIONNEL FLORA TRISTAN;;1;7331;1;PUBLIC;1;61168;La Fert‚ Mac‚;61;28;8532Z;85;OQ;1;de 50 à 299 salariés;49.050145;6.915638;Chemin de Fer 57510 Puttelange-aux-Lacs;0.1425336979969183;0.11756725055432372;street;57556_B051;;Chemin de Fer;Chemin de Fer;57510;Puttelange-aux-Lacs;57, Moselle, Grand Est;57556;;;;ok
19610021800011;196100218;LYCEE GENERAL ET TECHNOL JEAN GUEHENNO;;1;7331;1;PUBLIC;1;61169;Flers;61;28;8531Z;85;OQ;1;de 50 à 299 salariés;48.737426;-0.563453;Flers;0.3943203162055336;0.36211416927899687;municipality;61169;;Flers;;61100;Flers;61, Orne, Normandie;61169;;;;ok
19610021800029;196100218;LYCEE GENERAL ET TECHNOL JEAN GUEHENNO;GRETA SUD-NORMANDIE;1;7331;0;PUBLIC;1;61169;Flers;61;28;8559A;85;OQ;1;de 50 à 299 salariés;48.737426;-0.563453;Flers;0.3943203162055336;0.36211416927899687;municipality;61169;;Flers;;61100;Flers;61, Orne, Normandie;61169;;;;ok
19610023400018;196100234;COLLEGE SEVIGNE;;1;7331;1;PUBLIC;1;61169;Flers;61;28;8531Z;85;OQ;1;de 11 à 49 salariés;48.737426;-0.563453;Flers;0.3943203162055336;0.36211416927899687;municipality;61169;;Flers;;61100;Flers;61, Orne, Normandie;61169;;;;ok
19610026700018;196100267;LYCEE POLYVALENT NAPOLEON;;1;7331;1;PUBLIC;1;61214;L'Aigle;61;28;8531Z;85;OQ;1;de 50 à 299 salariés;48.760561;0.613716;L'Aigle;0.385453986013986;0.3359633766233766;municipality;61214;;L'Aigle;;61300;L'Aigle;61, Orne, Normandie;61214;;;;ok
19610027500011;196100275;;;1;7331;0;PUBLIC;1;61214;L'Aigle;61;28;8532Z;85;OQ;1;de 11 à 49 salariés;48.760561;0.613716;L'Aigle;0.385453986013986;0.3359633766233766;municipality;61214;;L'Aigle;;61300;L'Aigle;61, Orne, Normandie;61214;;;;ok
19610031700011;196100317;COLLEGE LOUIS GRENIER;;1;7331;1;PUBLIC;1;61126;Coulonges-sur-Sarthe;61;28;8531Z;85;OQ;1;de 11 à 49 salariés;48.520165;0.38706;Coulonges-sur-Sarthe;0.5593114452214453;0.500640118577075;municipality;61126;;Coulonges-sur-Sarthe;;61170;Coulonges-sur-Sarthe;61, Orne, Normandie;61126;;;;ok
19610033300018;196100333;COLLEGE EMILE CHARTIER;;1;7331;1;PUBLIC;1;61293;Mortagne-au-Perche;61;28;8531Z;85;OQ;1;de 50 à 299 salariés;48.520689;0.560368;Mortagne-au-Perche;0.5483968796068796;0.475762479338843;municipality;61293;;Mortagne-au-Perche;;61400;Mortagne-au-Perche;61, Orne, Normandie;61293;;;;ok
19610036600018;196100366;COLLEGE ANDRE COLLET;;1;7331;1;PUBLIC;1;61297;Moulins-la-Marche;61;28;8531Z;85;OQ;1;de 11 à 49 salariés;48.655065;0.475431;Moulins-la-Marche;0.4918295577395577;0.46853207188160667;municipality;61297;;Moulins-la-Marche;;61380;Moulins-la-Marche;61, Orne, Normandie;61297;;;;ok
19610037400012;196100374;COLLEGE GASTON LEFAVRAIS;;1;7331;1;PUBLIC;1;61339;Putanges-le-Lac;61;28;8531Z;85;OQ;1;de 11 à 49 salariés;48.767308;-0.293705;Putanges-le-Lac;0.511153422459893;0.4217767984189723;municipality;61339;;Putanges-le-Lac;;61210;Putanges-le-Lac;61, Orne, Normandie;61339;;;;ok
19610040800018;196100408;COLLEGE NICOLAS CONTE;;1;7331;1;PUBLIC;1;61464;S‚es;61;28;8531Z;85;OQ;1;de 11 à 49 salariés;45.655144;3.409017;Rue des réfugié.e.s Belges 63160 Fayet-le-Château;0.16651141414141413;0.15816014354066987;street;63157_0171;;Rue des réfugié.e.s Belges;Rue des réfugié.e.s Belges;63160;Fayet-le-Château;63, Puy-de-Dôme, Auvergne-Rhône-Alpes;63157;;;;ok
19610042400015;196100424;COLLEGE ALBERT CAMUS;;1;7331;1;PUBLIC;1;61486;Tinchebray-Bocage;61;28;8531Z;85;OQ;1;de 11 à 49 salariés;48.729944;-0.72782;Tinchebray-Bocage;0.5386786868686868;0.48644735729386884;municipality;61486;;Tinchebray-Bocage;;61800;Tinchebray-Bocage;61, Orne, Normandie;61486;;;;ok
19610044000011;196100440;COLLEGE ANDRE MALRAUX;;1;7331;1;PUBLIC;1;61494;Trun;61;28;8531Z;85;OQ;1;de 11 à 49 salariés;48.751064;-0.012886;Route de Trun 61200 Argentan;0.27595774193548384;0.26809501466275654;street;61006_1470;;Route de Trun;Route de Trun;61200;Argentan;61, Orne, Normandie;61006;;;;ok
